-10|0.0
5|0.2586
5|0.0
5|0.2631
20|0.8716
36|1.1202
36|1.043
36|1.169
51|0.9388
51|1.1537
64|1.1252
64|1.2501
79|1.2039
95|1.2912
95|1.3602
95|1.3787
110|1.3029
125|1.3658
125|1.3099
125|1.3871
140|1.2728
140|1.3596
156|1.4436
156|1.4047
156|1.409
171|1.4518
186|1.5038
186|1.4768
186|1.4814
201|1.5469
217|1.5667
217|1.5509
217|1.5703
232|1.5519
232|1.6034
248|1.6313
248|1.6338
263|1.6583
278|1.675
278|1.6885
293|1.7108
309|1.6984
309|1.7227
309|1.7192
324|1.7205
324|1.7536
339|1.7519
339|1.7531
339|1.7422
354|1.773
370|1.7902
370|1.7955
370|1.7979
385|1.7956
401|1.8068
401|1.806
401|1.8165
416|1.7944
416|1.8191
429|1.8304
429|1.827
429|1.8319
444|1.847
460|1.8439
460|1.8424
460|1.8534
475|1.8547
490|1.8485
490|1.8468
505|1.8323
505|1.8502
521|1.8455
521|1.8573
521|1.8505
536|1.8611
551|1.8575
551|1.8573
551|1.8592
566|1.8758
582|1.8602
582|1.8647
582|1.875
597|1.865
597|1.8747
613|1.8798
613|1.8871
613|1.8913
628|1.8947
643|1.8816
643|1.8925
643|1.8927
658|1.8928
674|1.8877
674|1.8924
689|1.8524
689|1.8918
704|1.8957
704|1.9009
