"beta_0","beta_1","beta_2","lambda"
"1",2.39697150885761,-2.41409927002559,-5.11666665139808,0.042191242519274
"2",2.60822233941446,-2.02832021969944,-6.5595921037332,0.048447913001258
"3",2.54772232377404,-1.88723495702459,-6.66854433815048,0.0491499111515245
"4",2.07714780956172,-0.252779702563217,-7.98000812403541,0.0676722688967723
"5",2.43431197007139,-1.49512395787687,-6.83181302956177,0.0569093185259105
"6",2.3712704482007,-1.59101233037572,-6.50377824874384,0.0519915953991047
"7",2.302190057005,0.040705324406034,-9.06047038018567,0.0676722688967723
"8",2.62316416073455,-1.15390510096784,-8.03722418445302,0.0569093185259105
"9",3.60668049363563,-3.62762203336972,-6.18381915182965,0.0365908586286454
"10",3.93442783593799,-4.09960342274209,-6.13860828098777,0.0320052639742549
"11",3.86144924157539,-3.93844895643875,-6.43630982372532,0.0314678990382632
"12",4.11194722661574,-4.22055635358834,-6.66381176289866,0.0291518069227628
"13",4.23118685135617,-4.35343550560948,-6.16026920822076,0.0254317466787107
"14",4.16868999355259,-4.6325780049309,-4.81777615506886,0.0171602448516936
"15",5.19582885752141,-5.59318292223214,-6.2442213209287,0.0149353418640891
"16",4.93016781654159,-5.24079839810638,-6.332977175862,0.0149353418640891
"17",4.46891768329014,-4.8418472127019,-5.37022813543116,0.0149353418640891
"18",5.34241481826177,-5.67994630732991,-6.13627882273687,0.0149353418640891
"19",5.83572533363544,-6.13753890290021,-6.78009738769108,0.0149353418640891
"20",6.41958013067055,-6.54508042757775,-8.13166512342465,0.0149353418640891
"21",6.28801913477019,-6.43386256454752,-7.94870884632457,0.0149353418640891
"22",6.19700039370016,-6.40612182640561,-7.33870640392375,0.0149353418640891
"23",6.02291253557297,-6.29104124895892,-6.66639997881764,0.0149353418640891
"24",5.78533719328542,-6.02944863125675,-6.15187630924097,0.0153194062978224
"25",4.17408014448836,-4.24556880690103,-5.48409749688162,0.0221209998324953
"26",6.33748273708428,-6.4459067574866,-7.1763440354618,0.0149353418640891
"27",7.80881215125096,-7.79336835802492,-9.10658201102588,0.0149353418640891
"28",6.19846293159929,-6.41118561321626,-6.13048341313771,0.0149353418640891
"29",6.54213407936411,-6.73875692457206,-6.31347157606265,0.0149353418640891
"30",4.42093139743334,-4.33899024332571,-5.53952233715525,0.026355227344774
"31",6.39957453622204,-6.4778375743481,-6.90706782870133,0.0149353418640891
"32",4.68950779709239,-4.66330237276427,-5.63666075704203,0.0149353418640891
"33",5.83611842468727,-5.60366025826708,-7.71614171379129,0.0149353418640891
"34",6.52528273045107,-6.27089478534297,-8.1285003913667,0.0149353418640891
"35",6.47330691064748,-6.14485296088014,-7.95610828545051,0.0149353418640891
"36",6.98982579132231,-6.60314003922413,-8.35167787422551,0.0149353418640891
"37",7.07262027655834,-6.82039617699509,-7.68535574092223,0.0149353418640891
"38",5.8551953856296,-5.66655814101137,-6.2954202337426,0.0181107393868124
"39",7.66677343111965,-7.60029175331981,-8.07446375112147,0.0157883198506057
"40",8.4994787375378,-8.42114072661832,-8.68031530629269,0.0149353418640891
"41",9.18370691664351,-9.02277819070943,-9.48007228294206,0.0149353418640891
"42",9.03906467570615,-8.86697689911256,-8.85603660027592,0.0149353418640891
"43",9.61723911074906,-9.36845702955075,-9.09978160711875,0.0149353418640891
"44",8.99812436882898,-8.84437424474606,-7.67826664971567,0.0149353418640891
"45",10.3956210408465,-10.1233740061381,-9.467529415757,0.0149353418640891
"46",11.1984070796401,-10.9198723666596,-10.294552769957,0.0149353418640891
"47",10.6137921165573,-10.3576629387025,-8.84633832326915,0.0149353418640891
"48",9.35001221126198,-9.32086237078199,-5.78096080060482,0.0149353418640891
"49",9.20433083161622,-9.17490476754513,-5.97621124489322,0.0149353418640891
"50",7.60377581649688,-7.4025732402902,-3.45977264027483,0.0149353418640891
"51",9.33216815107346,-8.71184976798124,-6.4866995575959,0.0149353418640891
"52",7.40292970604783,-6.9952820047245,-3.58389829211179,0.0149353418640891
"53",8.46259215976187,-7.85833435206266,-5.77005676123456,0.0149353418640891
"54",7.83658478649721,-7.19739823466209,-4.85063762994852,0.0149353418640891
"55",7.71889610136437,-7.31577839058976,-5.53905937332018,0.0149353418640891
"56",7.88073282872189,-7.35860308138162,-5.5499533020396,0.0149353418640891
"57",6.78233530798928,-6.40333014246268,-2.64256259046341,0.0149353418640891
"58",3.79511063951904,-1.66899062550384,-6.35555204938865,0.0717147697294248
"59",0.0382005592486,-0.769132140162341,9.41935793473448,0.0163998645999838
"60",2.7986214325283,-2.20387613485188,7.3757827643816,0.0182023329594228
"61",4.22711531545211,-4.6261506268141,1.17414121791529,0.0551693666668495
"62",3.99460322608766,-4.08149307014653,-0.0221064793314222,0.0498121718844811
"63",4.42755423015903,-1.64769563039757,-6.11464468541475,0.0747002617866043
"64",3.36010938975619,-2.74534203145224,4.66248215757266,0.0149353418640891
"65",3.16400912937508,-2.63120645276223,5.82886877704477,0.0149353418640891
"66",4.95774718923353,-0.148067676556771,-10.3297664277035,0.0747002617866043
"67",4.96757142298869,0.812072217732295,-11.7624100860259,0.0747002617866043
"68",9.93920195984144,-8.69613584730444,-6.81475935858851,0.0166234356393897
"69",8.28517912388081,-7.79534113319986,-2.32724025092385,0.0149353418640891
"70",8.73731396823718,-7.88901024670633,-3.29788361388753,0.0149353418640891
"71",8.27540603530505,-7.63372827265707,-2.20882656289288,0.0149353418640891
"72",6.77671510597442,-6.43524713997587,0.00819455374448444,0.0153856019567303
"73",6.32160864424183,-6.06947187709833,0.00657322507658762,0.0175789264203863
"74",6.12547086906356,-5.82192475677367,0.0121699237055179,0.0182023329594228
"75",6.0318188330292,-6.02562223892139,0.0151061220779862,0.0208440552748633
"76",5.53391439338264,-5.44358507099849,0.00373304061954969,0.0254317466787107
"77",6.2411462085982,-6.18030476555842,-0.00670842892966907,0.0216022365350448
"78",6.35942256962024,-6.03917257017899,-0.0116726196032917,0.022559875701416
"79",5.96457835095007,-5.81361925059139,0.00686062819516336,0.0243908537805799
"80",6.20417760942688,-5.60887546396135,0.0126994329632958,0.0195802593130712
"81",6.54267440573388,-5.83341726850655,0.00925157947849515,0.0173921558114242
"82",7.17454572074967,-6.2640631335473,-0.347767639597341,0.0149353418640891
"83",6.21655194752485,-4.82845822807479,-0.0030097931092758,0.0157883198506057
"84",6.17010021724446,-3.86178982235313,-1.8360606841501,0.0149353418640891
"85",7.52478218469399,-4.96578813212068,-3.59622800486829,0.0149353418640891
"86",6.51064511099181,-3.52568388015737,-1.71269745591512,0.0149353418640891
"87",7.07121132646009,-2.77161004014625,-4.40087924794228,0.0149353418640891
"88",6.73285513559469,-2.19789329761235,-4.18351248312032,0.0149353418640891
"89",5.81683886359702,-1.10666246885647,-1.73358846446808,0.0149353418640891
"90",5.66772029970419,-0.815557657110751,-1.68640777523479,0.0149353418640891
"91",6.03550053329567,-1.82185875497746,-2.58900791109789,0.0149353418640891
"92",5.80662048116933,-1.96115446562324,-2.06786006693512,0.0149353418640891
"93",6.80043659281515,-3.16650567123356,-4.2190704304702,0.0149353418640891
"94",5.27422536046852,-1.74120555542578,-2.80663922838538,0.0306416771767308
"95",6.586426198405,-2.78794840953599,-3.56413835125623,0.0149353418640891
"96",4.72365131290639,-0.173513438408849,-1.98282029986798,0.0527604711359729
"97",4.71889048971003,-0.535070092049323,-1.66153060955749,0.0377516979196615
"98",4.79467815930402,-0.716765016768737,-0.73400073825842,0.0280143195637185
"99",4.71043402374207,-0.62025634815451,-0.742372273890821,0.0311955928813313
"100",4.6429597921395,-0.395750767676517,-0.780360478067579,0.0453922241000843
"101",4.78728537165257,-0.363360205269949,0.000421409658028851,0.016214503128302
"102",4.76816995628772,-0.460343077911441,-0.00104546708666744,0.0348178761752558
"103",4.60006559698517,-0.374262900814582,-0.178550884535134,0.0149353418640891
"104",4.50289584588613,-0.393895117722298,-0.482631641359949,0.0245789020316864
"105",4.6352527707902,-0.648724485797816,-1.04981404172853,0.0149353418640891
"106",4.4174069488935,-0.5198078422218,-0.207990804182989,0.0153194062978224
"107",4.4773120377305,-0.578259136686205,-0.376692144841033,0.0149353418640891
"108",4.36720163642558,-0.570823986402406,-0.676837408179001,0.0149353418640891
"109",4.39898202617,-0.658324941125176,-0.972456893272366,0.0149353418640891
"110",4.42881971217048,-0.782549201591356,-0.622756015109702,0.0149353418640891
"111",4.61571085936693,-1.00517668849216,-1.04214041836843,0.0149353418640891
"112",4.73317826688002,-1.2541079459328,-0.624153070868083,0.0149353418640891
"113",4.67894856124344,-1.30182606123981,0.00162266730163961,0.0155575527302897
"114",4.68606715849525,-1.48260822219762,0.000419984696737524,0.017665054873006
"115",4.60291793536692,-1.57944104796558,0.00233184816634238,0.0224119703519816
"116",4.57268853737133,-1.52783458090308,-0.00366853950146859,0.0206030004491664
"117",4.42211812110033,-1.41186332603229,-0.126888389270267,0.0149353418640891
"118",4.32666583883057,-1.58434998494843,-0.145855567809838,0.0149353418640891
"119",4.41717874714616,-1.71988972118388,-0.76709245122771,0.0149353418640891
"120",4.55497534819336,-1.95466487983477,-0.805450892484605,0.0149353418640891
"121",4.77520327102839,-2.33912638683125,-0.549623374442704,0.0149353418640891
"122",4.73339011384175,-2.58025692629008,-0.725612946504779,0.0149353418640891
"123",5.28866180570218,-3.32665364077031,-1.97180720592635,0.0149353418640891
"124",4.63623617122142,-2.66012996305489,-2.05872138118767,0.0269502651269437
"125",4.44323107212807,-2.27576784820608,-2.97683640612487,0.0373537484857353
"126",4.37387802175514,-2.36325277179615,-2.94408989852021,0.038159090330518
"127",5.47615830000044,-3.66082017606897,-1.3933302739294,0.015624570337738
"128",4.78629570678148,-2.76258558325321,-2.17723819642177,0.0320052639742549
"129",5.14528955123321,-3.14522204285262,-1.2698537663492,0.0239250422906245
"130",4.88642032283027,-2.80082817442728,-1.71497790058273,0.0271731083547139
"131",4.67785467154545,-2.16002694295459,-3.5392074341054,0.0448204352049977
"132",4.72887109193114,-1.94190440152369,-4.39588625551198,0.0505136524593649
"133",4.88128536945242,-1.90479472998482,-4.90162998871169,0.0560367326039086
"134",4.96358791305497,-1.94778889434108,-4.94764852576876,0.0588015278902077
"135",5.10313860847586,-2.66336296270489,-3.43498867705576,0.0512476409087701
"136",5.2640928974655,-2.91884014889266,-3.64562875240959,0.0498121718844811
"137",6.87786695182905,-4.77143042347147,-1.13229933823258,0.0149353418640891
"138",6.50198700846112,-4.45076429120055,-0.0517109740331581,0.0149353418640891
"139",6.08609807290346,-4.38486574736246,0.00445292929433838,0.0190708653731119
"140",6.18975045884972,-4.63705555087452,-0.00688528223456449,0.0173409615186139
"141",6.08796478966856,-4.70213030085379,-1.48950852450818,0.0220186154262495
"142",6.12792217799654,-4.55820167995219,0.0112872328697478,0.0168520953261415
"143",6.23748677987268,-4.6629126600146,0.00409387379008409,0.0168520953261415
"144",5.71007988294805,-4.11112427100756,-0.00544537103848575,0.0234378681790235
"145",5.73265009557643,-4.00674885287504,-0.00552194846957134,0.0239250422906245
