,Avg Trade Perf.,Win %,Avg Win,Loss %,Avg Loss,Std. Dev,Num. of Trades
1,0.012285714,0.571428571,0.07226875,0.428571429,-0.067691667,0.083063593,28
2,0.00886,0.56,0.067625,0.44,-0.065931818,0.078163883,50
3,0.006132203,0.508474576,0.067913333,0.491525424,-0.05777931,0.075678181,59
4,0.027155556,0.592592593,0.0870875,0.407407407,-0.060018182,0.081643462,27
5,0.0356,0.727272727,0.075025,0.272727273,-0.069533333,0.074261928,11
6,0.033333333,0.733333333,0.069272727,0.266666667,-0.0655,0.068657792,15
7,0.007149533,0.495327103,0.061928302,0.504672897,-0.046614815,0.067563636,109
