Holding Period,Avg Trade Perf.,Win %,Avg Win,Loss %,Avg Loss,Std. Dev,Num. of Trades,Win/Loss Ratio,Avg Trade/Std Dev
50,-0.012418711,0.467756585,0.051898188,0.532243415,-0.068942949,0.106581615,2251,0.752770063,-0.116518327
51,-0.012622499,0.469332122,0.05166066,0.530667878,-0.069475669,0.106663645,2251,0.743579158,-0.118339281
52,-0.012691518,0.472727273,0.051074687,0.527272727,-0.069861218,0.106680104,2251,0.731087832,-0.118967992
53,-0.012877308,0.478854025,0.050154274,0.521145975,-0.070793762,0.106997681,2251,0.708456126,-0.120351281
54,-0.012982078,0.471792539,0.050398269,0.528207461,-0.06959312,0.106865466,2251,0.72418465,-0.12148057
55,-0.013081077,0.470186618,0.050515493,0.529813382,-0.069520301,0.107273331,2251,0.726629377,-0.121941556
56,-0.013387562,0.468579235,0.050424593,0.531420765,-0.069653807,0.107335218,2251,0.723931608,-0.124726653
57,-0.013625442,0.473348519,0.050300188,0.526651481,-0.071081091,0.108295646,2251,0.707645132,-0.125817084
58,-0.013919989,0.472196901,0.050807184,0.527803099,-0.071827891,0.109184958,2251,0.707346166,-0.127489988
59,-0.014111717,0.467396261,0.051591259,0.532603739,-0.071770578,0.110169126,2251,0.718835777,-0.12809139
60,-0.014183559,0.473540146,0.051773432,0.526459854,-0.073510558,0.110928412,2251,0.704299265,-0.127862275
